index,ubi_mo,black_median_networth_pa,white_median_networth_pa,black_mean_networth_pa,white_mean_networth_pa,black_share_above_50k,white_share_above_50k,white_mean_nw_as_pct_of_mean_black,white_median_nw_as_pct_of_median_black,white_share_above_50k_pct_of_black,networth_pa_new,white_share,black_share,total_share,d_stat_cand,white_mean_nw_as_pct_of_mean_black_pc,white_median_nw_as_pct_of_median_black_pc,white_share_above_50k_pct_of_black_pc,d_stat_cand_pc
10,1000,34183.16236786199,119425.20896095497,104768.61291537413,555135.251949759,0.38829720620626185,0.6837112425223009,5.298679027068577,3.493685214836503,1.7607936178637256,91000.0,0.42795920365728995,0.746298492194567,0.5105907512079101,0.31833928853727705,-0.07601295843054634,-0.4581019118928422,-0.09756260339546752,-0.022645197397367922
11,1100,36112.785391962425,120283.83388332596,105528.69927122557,554927.1390197972,0.39669572965366323,0.6873445079663679,5.258542395121786,3.3307825075741007,1.7326743309449204,90500.0,0.4239975585889963,0.7416910714452136,0.5067453222936505,0.31769351285621733,-0.08301201000955727,-0.48336940457881583,-0.11197422769029519,-0.02462783663171364
12,1200,37640.61634106855,120953.81013387437,106288.78562707703,554719.0260898353,0.40697322850239315,0.6905912927162889,5.21897980880234,3.2133854833270967,1.6968961208027669,91000.0,0.4238002789848148,0.7416546897184103,0.5061874197391809,0.3178544107335955,-0.08991095914450142,-0.5015786074911905,-0.13031118353128002,-0.024133853266020133
13,1300,38657.38470609683,122017.70647185383,107048.87198292847,554510.9131598735,0.41334749413432076,0.6945049916661821,5.179979040305101,3.1563880329599705,1.6801964485612602,91000.0,0.42246272067177687,0.7387250432783194,0.5042940187170992,0.3162623226065426,-0.09671193812786805,-0.5104193608738257,-0.13887005641046413,-0.029021829815479516
14,1400,40142.06808494137,122462.82276825099,107808.95833877989,554302.8002299117,0.42136269200326437,0.6976675673682867,5.1415282066641,3.0507352662826777,1.6557411954328451,92000.0,0.42469362054660476,0.7374395420270166,0.5055067346876735,0.3127459214804118,-0.1034170191188718,-0.5268069369561019,-0.15140379957185013,-0.03981776877825316
15,1500,41760.101945275244,122829.10254387782,108569.04469463133,554094.6872999499,0.4360132469386569,0.7008730425160761,5.103615757681522,2.941302746454975,1.6074581390291625,91500.0,0.4223126992361509,0.7327622382311463,0.5023403332165234,0.3104495389949954,-0.11002821624840331,-0.5437807825159561,-0.17614970691669463,-0.046868046678436026
16,1600,43044.5131590789,123884.0815984141,109329.13105048279,553886.5743699882,0.4519448288795587,0.7027065575594486,5.066230464360233,2.8780458299197793,1.5548503106044316,94000.0,0.4270240147830809,0.7337193587632495,0.5061820024515112,0.30669534398016857,-0.11654748763617317,-0.5535924283918943,-0.20311213524616079,-0.05839405260911201
17,1700,44243.98370633122,124957.1849419331,110089.21740633422,553678.4614400263,0.46435062471742883,0.7078428977593079,5.029361407815487,2.824275177645271,1.5243715849204496,93500.0,0.423771460433727,0.7281945148448473,0.5025171578849416,0.30442305441112033,-0.12297673732429482,-0.561932679980701,-0.2187330130020938,-0.06537036123070117
18,1800,45322.90807860589,125770.52328643136,110849.3037621857,553470.3485100647,0.47050083166076356,0.710947141574231,4.992997968642825,2.77498793917418,1.5110433260335487,94500.0,0.4247166153494182,0.7276464564424402,0.5029478995563803,0.302929841093022,-0.1293178171313173,-0.5695775187836197,-0.2255639778176971,-0.06995477559708152
19,1900,46576.19663669304,126579.32573788792,111609.39011803713,553262.2355801025,0.4778826028873147,0.7148186619854346,4.957129816720413,2.717682740933979,1.4958039017670408,92000.0,0.41730305949792273,0.7165402626729398,0.49441650905574913,0.29923720317501706,-0.13557252843050094,-0.5784660062847525,-0.23337444817679842,-0.08129179095581296
20,2000,48310.20024793187,127505.64453590242,112369.47647388857,553054.1226501409,0.4824894822731023,0.7182235713079771,4.92174690142527,2.639311033312491,1.4885787104089512,95000.0,0.42179779824826014,0.7208758762712448,0.49877564589924556,0.2990780780229847,-0.14174262385591663,-0.5906220752807296,-0.23707748458777467,-0.08178033175851529
